Date,CS_Momentum,BuyHold_SPY
2019-09-18,0.8306633763865918,1.1521734655544187
2019-09-19,0.8364530076673569,1.152096659650785
2019-09-20,0.8335458783078595,1.146653346781872
2019-09-23,0.8358999373836021,1.1463840758332868
2019-09-24,0.8471849017866323,1.1373886507376976
2019-09-25,0.8509684185488742,1.1441159215936523
2019-09-26,0.8621762975286315,1.14173262282512
2019-09-27,0.8652619297058654,1.1355819751853897
2019-09-30,0.8788343285612028,1.1408486473412556
2019-10-01,0.8861410414081037,1.127278446488028
2019-10-02,0.898681682317403,1.1073652616032241
2019-10-03,0.892589519954108,1.1164381358679716
2019-10-04,0.8909245661540881,1.1315456126718166
2019-10-07,0.8913645628163573,1.1266632273403292
2019-10-08,0.9084201270686381,1.1091723231148467
2019-10-09,0.907126260891274,1.1197052814672637
2019-10-10,0.8986095813767879,1.1272784464880283
2019-10-11,0.8820087468977825,1.1389646512728946
2019-10-14,0.879792706497141,1.1376962603115472
2019-10-15,0.8613096446495642,1.1489598396467708
2019-10-16,0.8688306451523286,1.1471146968160937
2019-10-17,0.8669983351054825,1.1504972442504935
2019-10-18,0.8735783545875148,1.1454612471117385
2019-10-21,0.8705897091628908,1.1532266198712446
2019-10-22,0.8709956369872754,1.1494596569593616
2019-10-23,0.8731559477197602,1.1528038657684971
2019-10-24,0.8715758962209849,1.1546878618368583
2019-10-25,0.8635311735439429,1.1594158634424492
2019-10-28,0.8432737745292956,1.1659510552127674
2019-10-29,0.8398880992904859,1.1656053643198634
2019-10-30,0.8450011268074465,1.1691806341054243
2019-10-31,0.8571336005178825,1.1660663283947703
2019-11-01,0.8385710054691107,1.1768685576957723
2019-11-04,0.8140835030312012,1.1815970739137829
2019-11-05,0.7989730889964072,1.1802904729802761
2019-11-06,0.8105560867600017,1.1805591006633367
2019-11-07,0.7953619674905863,1.1847107363589127
2019-11-08,0.7882973628650627,1.1876325770246154
2019-11-11,0.7977463293668041,1.1853646800911908
2019-11-12,0.8012690090172597,1.1878631233886214
2019-11-13,0.8067700901764471,1.1882477961723144
2019-11-14,0.8124389067477455,1.1899777944740935
2019-11-15,0.8025567014815492,1.19858828947978
2019-11-18,0.8169033029389638,1.199472779576064
